# pondera.tsv - tabula ponderum decretoris (T38 b, 2026-09-15): contentiones et rectae per (regula, dialectus, forma, folliculus, valor) ex ordinibus LIS plagularum EDITIBILIUM (la_circse, la_llct) solis; scrinium numquam; regeneratio: python3 oratio/census/pondera.py <lites.tsv> -scribere (causa nominata); fons 06b4dbfe lites_t38c_off.tsv
regula	dialectus	forma	folliculus	valor	contentiones	rectae	permille
umbra-obiectum-verbi-sequente-proximo	-	-	positio-numerus	0+singularis	265	43	162
umbra-obiectum-verbi-sequente-proximo	-	prosa	-	-	354	50	141
umbra-obiectum-verbi-sequente-proximo	-	versus	-	-	371	74	199
umbra-obiectum-verbi-sequente-proximo	classicus	-	-	-	415	82	197
umbra-obiectum-verbi-sequente-proximo	classicus	-	positio-numerus	0+pluralis	139	39	280
umbra-obiectum-verbi-sequente-proximo	classicus	-	positio-numerus	0+singularis	247	42	170
umbra-obiectum-verbi-sequente-proximo	classicus	prosa	-	-	44	8	181
umbra-obiectum-verbi-sequente-proximo	classicus	versus	-	-	371	74	199
umbra-obiectum-verbi-sequente-proximo	medius	-	-	-	310	42	135
umbra-obiectum-verbi-sequente-proximo	medius	-	positio-numerus	0+pluralis	53	41	773
umbra-obiectum-verbi-sequente-proximo	medius	-	positio-numerus	0+singularis	18	1	55
umbra-obiectum-verbi-sequente-proximo	medius	prosa	-	-	310	42	135
umbra-subiectum-praecedente	-	-	-	-	5570	1125	201
umbra-subiectum-praecedente	-	-	positio-numerus	0+singularis	45	22	488
umbra-subiectum-praecedente	-	-	positio-numerus	1+pluralis	1289	268	207
umbra-subiectum-praecedente	-	-	positio-numerus	1+singularis	2480	270	108
umbra-subiectum-praecedente	-	prosa	-	-	4683	874	186
umbra-subiectum-praecedente	-	versus	-	-	887	251	282
umbra-subiectum-praecedente	classicus	-	-	-	928	261	281
umbra-subiectum-praecedente	classicus	-	positio-numerus	0+singularis	44	22	500
umbra-subiectum-praecedente	classicus	-	positio-numerus	1+pluralis	59	17	288
umbra-subiectum-praecedente	classicus	-	positio-numerus	1+singularis	743	212	285
umbra-subiectum-praecedente	classicus	prosa	-	-	41	10	243
umbra-subiectum-praecedente	classicus	versus	-	-	887	251	282
umbra-subiectum-praecedente	medius	-	-	-	4642	864	186
umbra-subiectum-praecedente	medius	-	positio-numerus	0+singularis	1	0	0
umbra-subiectum-praecedente	medius	-	positio-numerus	1+pluralis	1230	251	204
umbra-subiectum-praecedente	medius	-	positio-numerus	1+singularis	1737	58	33
umbra-subiectum-praecedente	medius	prosa	-	-	4642	864	186
umbra-subiectum-praecedente-proximo	-	-	-	-	784	403	514
umbra-subiectum-praecedente-proximo	-	-	positio-numerus	0+singularis	2	1	500
umbra-subiectum-praecedente-proximo	-	-	positio-numerus	1+pluralis	209	157	751
umbra-subiectum-praecedente-proximo	-	-	positio-numerus	1+singularis	553	237	428
umbra-subiectum-praecedente-proximo	-	prosa	-	-	386	275	712
umbra-subiectum-praecedente-proximo	-	versus	-	-	398	128	321
umbra-subiectum-praecedente-proximo	classicus	-	-	-	440	146	331
umbra-subiectum-praecedente-proximo	classicus	-	positio-numerus	0+singularis	2	1	500
umbra-subiectum-praecedente-proximo	classicus	-	positio-numerus	1+pluralis	83	36	433
umbra-subiectum-praecedente-proximo	classicus	-	positio-numerus	1+singularis	347	104	299
umbra-subiectum-praecedente-proximo	classicus	prosa	-	-	42	18	428
umbra-subiectum-praecedente-proximo	classicus	versus	-	-	398	128	321
umbra-subiectum-praecedente-proximo	medius	-	-	-	344	257	747
umbra-subiectum-praecedente-proximo	medius	-	positio-numerus	1+pluralis	126	121	960
umbra-subiectum-praecedente-proximo	medius	-	positio-numerus	1+singularis	206	133	645
umbra-subiectum-praecedente-proximo	medius	prosa	-	-	344	257	747
umbra-subiectum-sequente	-	-	-	-	1084	46	42
